Context,Response
Context: i'm getting married.,"Response: you should be happy, not worried."
"Context: you should be happy, not worried.","Response: i am happy, but marriage is a lot of responsibility."
"Context: i am happy, but marriage is a lot of responsibility.","Response: yes, you have to take care of your wife."
"Context: yes, you have to take care of your wife.",Response: and i have to take care of our children.
Context: and i have to take care of our children.,Response: are you going to start a family?
Context: are you going to start a family?,Response: yes. we want to have a little boy and a little girl.
Context: yes. we want to have a little boy and a little girl.,Response: that sounds wonderful.
Context: that sounds wonderful.,Response: except we can't afford it!
Context: except we can't afford it!,Response: no wonder you're worried.
Context: i don't get art.,Response: or artists.
Context: or artists.,Response: they're in a different world.
Context: they're in a different world.,Response: i saw a painting of a jar that was full of pencils.
Context: i saw a painting of a jar that was full of pencils.,Response: the artist said the jar was both full and empty.
Context: the artist said the jar was both full and empty.,Response: but it was full of pencils! how could he say it was empty?
Context: but it was full of pencils! how could he say it was empty?,Response: artists see things differently.
Context: artists see things differently.,Response: did you ever see anything that picasso painted?
Context: did you ever see anything that picasso painted?,Response: of course! he's world famous.
Context: of course! he's world famous.,Response: did he ever take art lessons?
Context: did he ever take art lessons?,Response: i can't believe it. i drew paintings like that in third grade.
Context: i can't believe it. i drew paintings like that in third grade.,Response: where are they? maybe they are worth millions.
Context: what's the point?,Response: the point of what?
Context: the point of what?,Response: of living.
Context: of living.,"Response: who knows? you live, and then you die."
"Context: who knows? you live, and then you die.",Response: we must be here for some reason.
Context: we must be here for some reason.,Response: maybe we're here to have fun.
Context: maybe we're here to have fun.,Response: then why aren't i having fun?
Context: then why aren't i having fun?,Response: because you're thinking too much.
Context: because you're thinking too much.,Response: so i should stop thinking?
Context: so i should stop thinking?,Response: stop thinking about what the point is.
Context: stop thinking about what the point is.,Response: okay. i'll start thinking about having some fun.
Context: okay. i'll start thinking about having some fun.,Response: just be patient. fun doesn't come along every five minutes.
Context: beer is a powerful drug.,Response: so are cigarettes.
Context: so are cigarettes.,Response: which would you prefer?
Context: which would you prefer?,Response: what do you mean?
Context: what do you mean?,"Response: when you die and go to heaven, they will offer you beer or cigarettes."
"Context: when you die and go to heaven, they will offer you beer or cigarettes.",Response: i could pick only one or the other?
Context: i could pick only one or the other?,"Response: yes. nothing's perfect, not even in heaven."
"Context: yes. nothing's perfect, not even in heaven.","Response: boy, that's a tough one."
"Context: boy, that's a tough one.","Response: what's so tough about it? of course, i would pick cigarettes."
"Context: what's so tough about it? of course, i would pick cigarettes.",Response: but cigarettes taste much better when you have a cold beer.
Context: but cigarettes taste much better when you have a cold beer.,"Response: well, you can't have everything."
"Context: well, you can't have everything.",Response: i don't think i want to go to your heaven.
Context: my pants have a hole in the front pocket.,Response: you shouldn't carry pens in your pocket.
Context: you shouldn't carry pens in your pocket.,Response: yesterday a pen fell through my pants onto my shoe.
Context: yesterday a pen fell through my pants onto my shoe.,Response: lucky for you it wasn't a sharp knife.
Context: lucky for you it wasn't a sharp knife.,Response: who carries a sharp knife in their pocket?
Context: who carries a sharp knife in their pocket?,"Response: criminals, of course."
"Context: criminals, of course.","Response: anyway, i have to fix the hole."
"Context: anyway, i have to fix the hole.",Response: you can sew it up or use an iron-on patch.
Context: you can sew it up or use an iron-on patch.,Response: tell me about this patch.
Context: tell me about this patch.,Response: the patch has glue. the hot iron melts the glue so the patch sticks on.
Context: the patch has glue. the hot iron melts the glue so the patch sticks on.,Response: that sounds a lot easier than sewing.
Context: that sounds a lot easier than sewing.,"Response: it is. but after about ten washings, the glue washes off."
Context: do you know any good jokes?,Response: i can't remember jokes.
Context: i can't remember jokes.,Response: neither can i.
Context: neither can i.,Response: they go in one ear and out the other.
Context: they go in one ear and out the other.,Response: who makes up all these jokes?
Context: who makes up all these jokes?,Response: who knows? but there must be a hundred new ones every day.
Context: who knows? but there must be a hundred new ones every day.,"Response: yes, just in english alone."
"Context: yes, just in english alone.",Response: i wonder if every language has jokes.
Context: i wonder if every language has jokes.,Response: of course! people everywhere like good jokes.
Context: of course! people everywhere like good jokes.,Response: what do you think people joke about the most?
Context: what do you think people joke about the most?,Response: i think most jokes are about women.
